Settings::load("preferences.txt") : error, can't open file.
generator,seed,off_ms,on_ms,records,status
continents,1,584.859,655.228,82,ok
continents,2,581.530,534.400,81,ok
continents,3,567.476,595.120,83,ok
savannah,1,394.736,344.166,244,ok
savannah,2,313.700,364.433,246,ok
savannah,3,370.991,352.901,244,ok
hills,1,161.210,137.287,82,ok
hills,2,115.249,145.643,82,ok
hills,3,172.191,159.440,82,ok
rice-terraces,1,120.001,81.459,74,ok
rice-terraces,2,169.654,183.513,74,ok
rice-terraces,3,117.011,238.514,74,ok
locust,1,219.467,225.955,92,ok
locust,2,188.785,194.509,92,ok
locust,3,263.426,174.749,92,ok
plantations,1,587.634,614.869,96,ok
plantations,2,454.056,734.271,96,ok
plantations,3,474.372,522.795,96,ok
uniform,1,0.923,0.862,4,ok
uniform,2,0.863,2.134,4,ok
uniform,3,0.860,1.480,4,ok
# telemetry: 174 cases, 174 generated, 0 semantic failures, off 41734.685 ms, on 42780.589 ms
