config,method,seed,success,tiles,grass_tiles,sand_tiles,water_tiles,shore,free,fit4,um_grass,um_sand,um_water,seconds,hash,min_local_fit4,worst_wheat_distance,worst_wood_distance,viable_teams,wheat_tiles,wood_tiles,stone_tiles,algae_tiles,status
edge-1-teams-max,1,24004,1,16384,9378,279,4953,1774,7185,5387,9840,1166,5378,0.004729,13667748426926015759,0,20,18,11,593,1057,290,994,ok
edge-1-teams-max,1,24004,1,16384,9378,279,4953,1774,7185,5387,9840,1166,5378,0.001920,13667748426926015759,0,20,18,11,593,1057,290,994,ok
edge-1-workers-min,1,24001,1,16384,9332,282,4946,1824,7344,5573,9806,1193,5385,0.001378,13890498528614818315,526,10,10,4,954,641,315,994,ok
edge-1-workers-min,1,24001,1,16384,9332,282,4946,1824,7344,5573,9806,1193,5385,0.001404,13890498528614818315,526,10,10,4,954,641,315,994,ok
edge-1-workers-min,1,24003,1,16384,9411,274,4987,1712,7341,5689,9850,1129,5405,0.005096,1743860520622184812,397,18,17,4,824,755,400,991,ok
edge-1-workers-min,1,24003,1,16384,9411,274,4987,1712,7341,5689,9850,1129,5405,0.001440,1743860520622184812,397,18,17,4,824,755,400,991,ok
edge-1-workers-min,1,24004,1,16384,9349,285,4978,1772,7328,5741,9811,1170,5403,0.001333,17965142136197182547,780,22,8,4,593,1057,290,994,ok
edge-1-workers-min,1,24004,1,16384,9349,285,4978,1772,7328,5741,9811,1170,5403,0.046888,17965142136197182547,780,22,8,4,593,1057,290,994,ok
edge-1-workers-max,1,24001,1,16384,9332,282,4946,1824,7316,5554,9806,1193,5385,0.001339,13890498528614818315,598,9,9,4,954,641,315,994,ok
edge-1-workers-max,1,24001,1,16384,9332,282,4946,1824,7316,5554,9806,1193,5385,0.001743,13890498528614818315,598,9,9,4,954,641,315,994,ok
edge-1-workers-max,1,24003,1,16384,9411,274,4987,1712,7313,5659,9850,1129,5405,0.001378,1743860520622184812,551,18,17,4,824,755,400,991,ok
edge-1-workers-max,1,24003,1,16384,9411,274,4987,1712,7313,5659,9850,1129,5405,0.001358,1743860520622184812,551,18,17,4,824,755,400,991,ok
edge-1-workers-max,1,24004,1,16384,9349,285,4978,1772,7300,5711,9811,1170,5403,0.004252,17965142136197182547,846,20,5,4,593,1057,290,994,ok
edge-1-workers-max,1,24004,1,16384,9349,285,4978,1772,7300,5711,9811,1170,5403,0.001410,17965142136197182547,846,20,5,4,593,1057,290,994,ok
edge-1-water-min,1,24001,0,16384,0,0,16384,0,0,0,16383,1,0,0.001091,253967105468988286,16384,100000,100000,0,0,0,0,0,failed
edge-1-water-min,1,24001,0,16384,0,0,16384,0,0,0,16383,1,0,0.001120,253967105468988286,16384,100000,100000,0,0,0,0,0,failed
edge-1-water-min,1,24003,0,16384,0,0,16384,0,0,0,16383,1,0,0.004801,17614258571223508803,16384,100000,100000,0,0,0,0,0,failed
edge-1-water-min,1,24003,0,16384,0,0,16384,0,0,0,16383,1,0,0.001045,17614258571223508803,16384,100000,100000,0,0,0,0,0,failed
edge-1-water-min,1,24004,0,16384,0,0,16384,0,0,0,16383,1,0,0.001035,17810711605240484000,16384,100000,100000,0,0,0,0,0,failed
edge-1-water-min,1,24004,0,16384,0,0,16384,0,0,0,16383,1,0,0.001033,17810711605240484000,16384,100000,100000,0,0,0,0,0,failed
edge-1-water-max,1,24001,1,16384,4979,323,8934,2148,3041,1720,5510,1397,9477,0.001381,14123798832588003375,148,15,7,4,689,842,313,1690,ok
edge-1-water-max,1,24001,1,16384,4979,323,8934,2148,3041,1720,5510,1397,9477,0.001366,14123798832588003375,148,15,7,4,689,842,313,1690,ok
edge-1-water-max,1,24003,1,16384,5107,339,9034,1904,3025,1892,5571,1291,9522,0.004533,6682157493061246418,129,9,7,4,662,955,375,1695,ok
edge-1-water-max,1,24003,1,16384,5107,339,9034,1904,3025,1892,5571,1291,9522,0.001416,6682157493061246418,129,9,7,4,662,955,375,1695,ok
edge-1-water-max,1,24004,1,16384,5182,281,9181,1740,3043,1977,5624,1150,9610,0.001383,10747540473145447402,39,21,14,4,1002,708,321,1695,ok
edge-1-water-max,1,24004,1,16384,5182,281,9181,1740,3043,1977,5624,1150,9610,0.001502,10747540473145447402,39,21,14,4,1002,708,321,1695,ok
edge-1-grass-min,1,24001,0,16384,0,0,16384,0,0,0,330,257,15797,0.001202,253967105468988286,16384,100000,100000,0,0,0,0,0,failed
edge-1-grass-min,1,24001,0,16384,0,0,16384,0,0,0,330,257,15797,0.003721,253967105468988286,16384,100000,100000,0,0,0,0,0,failed
edge-1-grass-min,1,24003,0,16384,0,0,16384,0,0,0,345,226,15813,0.002813,17614258571223508803,16384,100000,100000,0,0,0,0,0,failed
edge-1-grass-min,1,24003,0,16384,0,0,16384,0,0,0,345,226,15813,0.001068,17614258571223508803,16384,100000,100000,0,0,0,0,0,failed
edge-1-grass-min,1,24004,0,16384,0,0,16384,0,0,0,326,270,15788,0.001081,17810711605240484000,16384,100000,100000,0,0,0,0,0,failed
edge-1-grass-min,1,24004,0,16384,0,0,16384,0,0,0,326,270,15788,0.003218,17810711605240484000,16384,100000,100000,0,0,0,0,0,failed
edge-1-grass-max,1,24001,1,16384,11285,204,3407,1488,9885,8176,11680,947,3757,0.003325,3609620929673755109,1068,10,13,4,541,475,279,696,ok
edge-1-grass-max,1,24001,1,16384,11285,204,3407,1488,9885,8176,11680,947,3757,0.003975,3609620929673755109,1068,10,13,4,541,475,279,696,ok
edge-1-grass-max,1,24003,1,16384,11324,230,3384,1446,9942,8397,11687,952,3745,0.001341,4936522091075774384,971,23,11,4,558,514,213,698,ok
edge-1-grass-max,1,24003,1,16384,11324,230,3384,1446,9942,8397,11687,952,3745,0.003343,4936522091075774384,971,23,11,4,558,514,213,698,ok
edge-1-grass-max,1,24004,1,16384,11264,237,3389,1494,9918,8343,11660,983,3741,0.004670,16153151779798774698,1132,6,12,4,404,626,223,701,ok
edge-1-grass-max,1,24004,1,16384,11264,237,3389,1494,9918,8343,11660,983,3741,0.003137,16153151779798774698,1132,6,12,4,404,626,223,701,ok
edge-1-smoothing-min,1,24001,1,16384,8114,658,3825,3787,6783,3797,9138,2552,4694,0.003433,5021615561480563420,466,13,6,4,435,556,250,990,ok
edge-1-smoothing-min,1,24001,1,16384,8114,658,3825,3787,6783,3797,9138,2552,4694,0.001494,5021615561480563420,466,13,6,4,435,556,250,990,ok
edge-1-smoothing-min,1,24003,1,16384,8243,651,3920,3570,6875,3845,9180,2437,4767,0.002187,12728242639966732679,376,7,9,4,492,545,227,983,ok
