config,method,seed,success,tiles,grass_tiles,sand_tiles,water_tiles,shore,free,fit4,um_grass,um_sand,um_water,seconds,hash,min_local_fit4,worst_wheat_distance,worst_wood_distance,viable_teams,wheat_tiles,wood_tiles,stone_tiles,algae_tiles,status
shattered-holdout,7,30001,1,16384,5791,1634,3259,5700,5092,1889,7194,4520,4670,0.009705,2712395013894739790,112,19,17,4,277,237,105,108,ok
shattered-holdout,7,30001,1,16384,5791,1634,3259,5700,5092,1889,7194,4520,4670,0.010698,2712395013894739790,112,19,17,4,277,237,105,108,ok
shattered-holdout,7,32501,1,16384,6269,1498,3458,5159,5390,1808,7686,4104,4594,0.009830,545327954787896904,148,9,13,4,403,214,182,162,ok
shattered-holdout,7,32501,1,16384,6269,1498,3458,5159,5390,1808,7686,4104,4594,0.010109,545327954787896904,148,9,13,4,403,214,182,162,ok
shattered-holdout,7,35000,1,16384,7375,1070,3000,4939,6436,2763,8711,3559,4114,0.009394,17586944396754086295,252,8,12,4,465,186,208,126,ok
shattered-holdout,7,35000,1,16384,7375,1070,3000,4939,6436,2763,8711,3559,4114,0.009964,17586944396754086295,252,8,12,4,465,186,208,126,ok
