config,method,seed,success,tiles,grass_tiles,sand_tiles,water_tiles,shore,free,fit4,um_grass,um_sand,um_water,seconds,hash,min_local_fit4,worst_wheat_distance,worst_wood_distance,viable_teams,wheat_tiles,wood_tiles,stone_tiles,algae_tiles,status
shattered-holdout,7,30001,1,16384,7046,1453,2169,5716,6188,1967,8810,4315,3259,0.018893,4967080206951358053,163,9,13,4,387,233,158,31,ok
shattered-holdout,7,30001,1,16384,7046,1453,2169,5716,6188,1967,8810,4315,3259,0.018362,4967080206951358053,163,9,13,4,387,233,158,31,ok
shattered-holdout,7,32501,1,16384,6100,1500,3549,5235,5315,1836,7507,4130,4747,0.017830,18383014318267758100,168,7,23,4,404,135,166,144,ok
shattered-holdout,7,32501,1,16384,6100,1500,3549,5235,5315,1836,7507,4130,4747,0.018262,18383014318267758100,168,7,23,4,404,135,166,144,ok
shattered-holdout,7,35000,1,16384,6471,1599,3166,5148,5639,1999,7894,4197,4293,0.018125,10314852731698056258,253,4,17,4,416,175,161,82,ok
shattered-holdout,7,35000,1,16384,6471,1599,3166,5148,5639,1999,7894,4197,4293,0.018156,10314852731698056258,253,4,17,4,416,175,161,82,ok
