Settings::load("preferences.txt") : error, can't open file.
generator,seed,off_ms,on_ms,records,status
fingerprint,1,952.052,771.955,55,ok
fingerprint,2,706.993,558.146,55,ok
fingerprint,3,527.998,837.144,55,ok
old-town,1,299.508,367.628,58,ok
old-town,2,660.207,517.006,58,ok
old-town,3,758.188,298.568,58,ok
symmetric-arena,1,103.299,99.372,11,ok
symmetric-arena,2,210.558,143.946,11,ok
symmetric-arena,3,211.881,182.230,11,ok
swamp,1,44.625,59.048,65,ok
swamp,2,84.615,62.428,65,ok
swamp,3,53.285,97.014,65,ok
tidal-flats,1,279.571,325.177,63,ok
tidal-flats,2,501.428,387.355,63,ok
tidal-flats,3,371.238,940.724,64,ok
river,1,46.637,63.618,65,ok
river,2,113.964,120.594,65,ok
river,3,193.228,299.166,65,ok
isles,1,169.914,260.156,14,ok
isles,2,508.918,365.171,14,ok
isles,3,414.684,230.272,14,ok
ring-world,1,106.273,125.647,71,ok
ring-world,2,93.660,71.417,71,ok
ring-world,3,326.435,245.231,72,ok
amphitheatre,1,380.575,208.396,78,ok
amphitheatre,2,447.853,469.619,78,ok
amphitheatre,3,206.895,167.799,78,ok
shattered-coast,1,51.986,59.621,39,ok
shattered-coast,2,116.907,81.244,39,ok
shattered-coast,3,176.653,121.722,39,ok
crater-lakes,1,120.911,84.342,65,ok
crater-lakes,2,75.510,88.617,65,ok
crater-lakes,3,186.820,244.829,65,ok
fjord-continent,1,64.592,117.972,79,ok
fjord-continent,2,147.539,154.347,79,ok
fjord-continent,3,202.979,155.398,79,ok
spider-web,1,225.007,177.352,59,ok
spider-web,2,142.254,238.733,59,ok
spider-web,3,110.370,208.096,59,ok
concrete-islands,1,227.411,404.951,9,ok
concrete-islands,2,212.973,332.322,9,ok
concrete-islands,3,365.059,551.586,9,ok
watershed,1,212.973,277.148,76,ok
watershed,2,292.884,422.257,76,ok
watershed,3,220.559,173.607,76,ok
maze,1,90.654,113.101,33,ok
maze,2,27.743,36.004,33,ok
maze,3,39.848,59.397,33,ok
islands,1,74.462,64.425,64,ok
islands,2,229.232,245.128,64,ok
islands,3,76.858,179.936,64,ok
stone-highlands,1,125.602,262.159,256,ok
stone-highlands,2,315.546,529.563,244,ok
stone-highlands,3,153.740,209.263,254,ok
switchbacks,1,529.237,1490.690,89,ok
switchbacks,2,1308.818,691.665,89,ok
switchbacks,3,1916.444,894.514,89,ok
city-states,1,386.341,400.266,62,ok
city-states,2,800.673,854.337,62,ok
city-states,3,526.819,881.932,62,ok
canals,1,514.101,376.042,86,ok
canals,2,424.714,440.034,86,ok
canals,3,358.770,325.168,88,ok
breachable-highlands,1,296.077,277.412,127,ok
breachable-highlands,2,178.739,303.823,127,ok
breachable-highlands,3,154.000,207.645,127,ok
rugged-archipelago,1,72.993,66.214,27,ok
rugged-archipelago,2,87.172,148.803,27,ok
rugged-archipelago,3,67.156,69.225,27,ok
contested-commons,1,497.228,350.237,40,ok
contested-commons,2,248.391,259.901,40,ok
contested-commons,3,511.514,259.692,40,ok
rain-shadow,1,159.246,115.896,57,ok
rain-shadow,2,212.072,200.028,57,ok
rain-shadow,3,249.114,395.146,57,ok
everglades,1,152.105,193.278,60,ok
everglades,2,387.439,303.407,60,ok
everglades,3,161.490,190.791,60,ok
polder,1,358.335,512.890,62,ok
polder,2,257.663,221.780,62,ok
polder,3,368.893,496.126,62,ok
carousel,1,1069.500,777.719,81,ok
carousel,2,514.033,2092.792,81,ok
carousel,3,1703.857,849.925,81,ok
old-growth,1,330.889,585.402,61,ok
old-growth,2,307.865,251.161,61,ok
old-growth,3,683.355,706.950,61,ok
anthill,1,354.128,366.667,60,ok
anthill,2,352.076,404.218,60,ok
anthill,3,285.976,323.015,60,ok
coral,1,317.848,257.930,63,ok
coral,2,179.112,168.107,63,ok
coral,3,190.511,253.690,63,ok
uniform,1,7.558,16.247,4,ok
uniform,2,8.204,9.694,4,ok
uniform,3,0.985,0.897,4,ok
# telemetry: 96 cases, 96 generated, 0 semantic failures, off 30552.997 ms, on 31859.298 ms
