stage,config,method,attempts,successes,all_teams_proxy,grass_mean_pct,free_mean_pct
legacy-shortlist,m7-w40-g70-s6-b0,7,64,53,46,53.33793208284198,47.484775759139154
legacy-shortlist,m7-w40-g70-s6-b4,7,64,58,51,52.27818982354526,46.427233465786635
legacy-shortlist,m7-w50-g50-s3-b0,7,64,63,33,32.32421875,27.58973136780754
legacy-shortlist,m7-w50-g50-s3-b4,7,64,64,32,30.12552261352539,25.473976135253906
legacy-shortlist,m7-w50-g50-s4-b0,7,64,64,45,35.83650588989258,30.622291564941406
legacy-shortlist,m7-w50-g50-s4-b4,7,64,64,28,33.652400970458984,28.74126434326172
legacy-shortlist,m7-w50-g50-s6-b0,7,64,64,40,37.25385665893555,31.921005249023438
legacy-shortlist,m7-w50-g50-s6-b4,7,64,64,35,35.88695526123047,30.650901794433594
legacy-shortlist,m7-w50-g60-s3-b0,7,64,61,31,36.842921522797134,31.825031217981557
legacy-shortlist,m7-w50-g60-s3-b4,7,64,64,40,35.80617904663086,30.809879302978516
legacy-shortlist,m7-w50-g60-s4-b0,7,64,63,45,39.94043743799603,34.57244388640873
legacy-shortlist,m7-w50-g60-s4-b4,7,64,64,46,38.66434097290039,33.355712890625
legacy-shortlist,m7-w50-g60-s6-b0,7,64,61,40,41.535524462090166,36.101594518442624
legacy-shortlist,m7-w50-g60-s6-b4,7,64,63,47,40.53877573164682,35.09618365575397
legacy-shortlist,m7-w50-g70-s3-b0,7,64,61,44,41.02252897669057,35.72537781762295
legacy-shortlist,m7-w50-g70-s3-b4,7,64,61,48,40.359547099129095,35.13213611039959
legacy-shortlist,m7-w50-g70-s4-b0,7,64,61,43,45.0255347079918,39.49945168417008
legacy-shortlist,m7-w50-g70-s4-b4,7,64,63,51,41.93047417534722,36.47925967261905
legacy-shortlist,m7-w50-g70-s6-b0,7,64,59,41,45.61446884931144,39.991579217425844
legacy-shortlist,m7-w50-g70-s6-b4,7,64,63,47,44.78546626984127,39.1846671937004
range-checks,range-concrete-w5-e0,5,64,64,61,75.33903121948242,48.6668586730957
range-checks,range-concrete-w5-e6,5,64,63,63,58.41829814608135,31.83535621279762
range-checks,range-concrete-w8-e0,5,64,64,64,59.40103530883789,36.670780181884766
range-checks,range-concrete-w8-e6,5,64,63,63,35.38973369295635,18.36179703000992
range-checks,range-isles-s45-w3,6,64,64,64,24.81679916381836,13.062286376953125
range-checks,range-isles-s45-w6,6,64,64,64,30.801010131835938,17.945003509521484
range-checks,range-isles-s65-w3,6,64,64,64,44.34013366699219,24.997997283935547
range-checks,range-isles-s65-w6,6,64,64,64,49.04623031616211,28.64522933959961
range-checks,range-lakes-s10-d10,4,64,64,60,64.96334075927734,56.017208099365234
range-checks,range-lakes-s10-d50,4,64,64,56,61.95993423461914,53.69596481323242
range-checks,range-lakes-s40-d10,4,64,64,33,67.43650436401367,57.21607208251953
range-checks,range-lakes-s40-d50,4,64,64,62,63.79518508911133,56.54458999633789
context-checks,size64-teams4-m1,1,32,28,28,54.91856166294643,42.80482700892857
context-checks,size128-teams2-m1,1,32,32,0,56.43959045410156,44.756126403808594
context-checks,size128-teams8-m1,1,32,32,0,56.479644775390625,44.184303283691406
context-checks,size256-teams4-m1,1,32,32,27,56.83794021606445,45.06707191467285
context-checks,size64-teams4-m2,2,32,16,13,53.58734130859375,39.1326904296875
context-checks,size128-teams2-m2,2,32,32,0,55.83171844482422,40.80085754394531
context-checks,size128-teams8-m2,2,32,21,0,55.886695498511905,40.371268136160715
context-checks,size256-teams4-m2,2,32,32,10,56.73723220825195,41.1595344543457
context-checks,size64-teams4-m3,3,32,32,30,42.42095947265625,31.146240234375
context-checks,size128-teams2-m3,3,32,32,0,50.83942413330078,33.88996124267578
context-checks,size128-teams8-m3,3,32,32,0,46.36554718017578,32.995033264160156
context-checks,size256-teams4-m3,3,32,32,5,52.26120948791504,34.22422409057617
context-checks,size64-teams4-m4,4,32,31,31,64.76972026209677,55.192319808467744
context-checks,size128-teams2-m4,4,32,32,0,65.37322998046875,57.330894470214844
context-checks,size128-teams8-m4,4,32,32,0,65.4001235961914,56.67915344238281
context-checks,size256-teams4-m4,4,32,32,28,65.52104949951172,57.649898529052734
context-checks,size64-teams4-m5,5,32,30,9,38.998209635416664,17.43408203125
context-checks,size128-teams2-m5,5,32,32,0,70.36056518554688,43.344879150390625
context-checks,size128-teams8-m5,5,32,32,0,57.088279724121094,29.144287109375
context-checks,size256-teams4-m5,5,32,32,6,81.69288635253906,59.87496376037598
context-checks,size64-teams4-m6,6,32,32,32,54.84466552734375,28.466796875
context-checks,size128-teams2-m6,6,32,32,0,37.14427947998047,22.910690307617188
context-checks,size128-teams8-m6,6,32,32,0,51.72538757324219,29.98504638671875
context-checks,size256-teams4-m6,6,32,32,19,34.91568565368652,24.39746856689453
context-checks,size64-teams4-m7,7,32,17,13,39.70875459558823,23.486328125
context-checks,size128-teams2-m7,7,32,31,0,40.208188949092744,37.285786290322584
context-checks,size128-teams8-m7,7,32,22,0,40.37198153409091,30.767822265625
context-checks,size256-teams4-m7,7,32,32,32,40.05556106567383,38.50393295288086
context-checks,size64-teams4-m8,8,32,32,32,41.231536865234375,29.62188720703125
context-checks,size128-teams2-m8,8,32,32,0,42.449951171875,29.840660095214844
context-checks,size128-teams8-m8,8,32,32,0,38.65776062011719,27.73284912109375
context-checks,size256-teams4-m8,8,32,32,32,44.65489387512207,31.314659118652344
