job,host,seed,variant,shape,status,diagnostic,algae-amount,branching,fruit-amount,height,long-tongues,rim-width,stone-amount,teams,tongue-count,wheat-amount,width,wood-amount,workers,fairness,score,minimum_build_sites,minimum_wheat,minimum_wood,branches_requested,branches_placed,approaches_narrow,unreachable_walking_pairs,water_components,telemetry_dropped,telemetry_invalid,report_version
658b4088c06201975c8ed6a9c935d920,pharaoh-dev-1.local,50116,combined-random,256x256x4,completed,lava-shield revision 1 seed 50116 [complete]: ,25,3,225,8,25,10,225,4,8,150,8,225,8,0.967962,0.597305,589,0.583333,0.71875,24,18,False,0,2,0,0,2
0510ac62a2b1da01bb1cfb216fd5880d,pharaoh-dev-1.local,50117,combined-random,256x256x8,generation_failed,"lava-shield revision 1 seed 50117 [lava scored settlements]: A coastal town's renewable starter field is too small. Use fewer tongues or colonies, a larger map, or another seed.",225,2,225,8,50,6,300,8,5,175,8,0,1,,,,,,10,7,False,,,0,0,2
4cebe4b3b35abd57056462e61526c682,pharaoh-dev-1.local,50118,combined-random,256x512x2,completed,lava-shield revision 1 seed 50118 [complete]: ,75,1,50,9,50,6,125,2,9,250,8,100,5,0.939592,0.56338,841,0.625,0.71875,9,5,False,0,2,0,0,2
27c9e289afc340401a4b444d3e0548a6,pharaoh-dev-1.local,50119,combined-random,256x512x4,completed,lava-shield revision 1 seed 50119 [complete]: ,25,1,275,9,50,8,125,4,5,225,8,50,8,0.948978,0.581255,573,0.625,0.71875,5,5,False,0,2,0,0,2
db2cff52ae7617aaa0b6bdc9ad35865d,pharaoh-dev-3.local,50120,combined-random,256x512x8,completed,lava-shield revision 1 seed 50120 [complete]: ,300,3,75,9,75,6,250,8,4,100,8,300,4,0.947318,0.574994,592,0.541667,0.71875,12,8,False,0,2,0,0,2
f4d15cb784546eead8d4ea7788b8952f,pharaoh-dev-3.local,50121,combined-random,512x256x2,completed,lava-shield revision 1 seed 50121 [complete]: ,75,0,100,8,50,6,25,2,8,100,9,100,1,0.976034,0.567244,576,0.583333,0.59375,0,0,False,0,2,0,0,2
5b9db4177a81752fa926ae92a77249ca,pharaoh-dev-3.local,50122,combined-random,512x256x4,completed,lava-shield revision 1 seed 50122 [complete]: ,300,3,125,8,75,10,100,4,5,0,9,275,1,0.890013,0.433926,574,0.375,0.5625,15,11,False,0,2,0,0,2
69424984bdf5ea778d7ba6a830f9cdbf,pharaoh-dev-3.local,50123,combined-random,512x256x8,completed,lava-shield revision 1 seed 50123 [complete]: ,300,1,25,8,25,8,75,8,3,50,9,200,2,0.927083,0.558491,853,0.583333,0.6875,3,3,False,0,2,0,0,2
0001f7de1383471f6aae47e2104d071e,pharaoh-dev-3.local,50124,combined-random,512x512x2,completed,lava-shield revision 1 seed 50124 [complete]: ,75,2,300,9,75,6,275,2,7,300,9,150,3,0.992652,0.591087,906,0.541667,0.65625,14,12,False,0,2,0,0,2
74269f40969f513fa818459996fa14b5,pharaoh-dev-3.local,50125,combined-random,512x512x4,completed,lava-shield revision 1 seed 50125 [complete]: ,0,2,225,9,25,6,100,4,8,175,9,300,1,0.950075,0.552618,497,0.625,0.65625,16,15,False,0,2,0,0,2
1dd53db7141eaaec45c905f7f3e9efce,pharaoh-dev-2.local,50126,combined-random,512x512x8,completed,lava-shield revision 1 seed 50126 [complete]: ,300,3,25,9,25,10,275,8,8,125,9,300,4,0.951307,0.586641,740,0.625,0.71875,24,20,False,0,2,0,0,2
20496c2dfa7714cb49feb7202b46d376,therig.local,50127,combined-random,512x512x12,completed,lava-shield revision 1 seed 50127 [complete]: ,175,3,225,9,75,10,150,12,3,125,9,175,3,0.86548,0.480525,589,0.541667,0.625,9,8,False,0,2,0,0,2
687ef862ebcc3ec230ea85dd80ea3450,therig.local,50128,combined-random,128x128x2,completed,lava-shield revision 1 seed 50128 [complete]: ,300,3,25,7,25,8,0,2,3,75,7,275,1,0.955603,0.565369,532,0.583333,0.71875,9,6,False,0,2,0,0,2
