job,host,seed,variant,shape,cohort,status,diagnostic,algae-amount,branching,fruit-amount,height,long-tongues,rim-width,stone-amount,teams,tongue-count,wheat-amount,width,wood-amount,workers,fairness,score,minimum_build_sites,minimum_wheat,minimum_wood,branches_requested,branches_placed,approaches_narrow,starter_secondary,unreachable_walking_pairs,water_components,telemetry_dropped,telemetry_invalid,report_version
d65edd843cef32d6c1dcd376d75b94f9,pharaoh-dev-2.local,50094,combined-random,512x512x8,bulk,completed,lava-shield revision 1 seed 50094 [complete]: ,200,1,25,9,25,6,75,8,6,0,9,300,4,0.856322,0.467643,881,0.333333,0.625,6,5,False,False,0,2,0,0,2
e5a3af70e9599e2e087b0c2a1cda4e4b,pharaoh-dev-2.local,50095,combined-random,512x512x12,bulk,completed,lava-shield revision 1 seed 50095 [complete]: ,25,1,100,9,25,6,300,12,5,75,9,100,3,0.909592,0.53723,855,0.583333,0.65625,5,5,False,False,0,2,0,0,2
7fac5b099e03be3e805b7c2c56e3c5d3,pharaoh-dev-2.local,50096,combined-random,128x128x2,bulk,completed,lava-shield revision 1 seed 50096 [complete]: ,275,0,25,7,75,8,50,2,3,125,7,50,3,0.986198,0.618469,534,0.625,0.65625,0,0,False,False,0,2,0,0,2
f1e90f1a8db8c9327a3e6528c070380c,pharaoh-dev-2.local,50097,combined-random,128x256x2,bulk,completed,lava-shield revision 1 seed 50097 [complete]: ,300,1,50,8,25,6,50,2,5,125,7,0,1,0.978195,0.572151,531,0.583333,0.5625,4,4,False,False,0,2,0,0,2
08a311bc714348ef86a8036a5a37c365,pharaoh-dev-2.local,50098,combined-random,256x128x2,bulk,completed,lava-shield revision 1 seed 50098 [complete]: ,0,1,150,7,75,6,250,2,4,50,8,25,2,0.971459,0.594399,750,0.583333,0.71875,4,2,False,False,0,2,0,0,2
23dbf0e37e1ddde89c8b0de0b2aac7cc,pharaoh-dev-1.local,50099,combined-random,256x256x2,bulk,completed,lava-shield revision 1 seed 50099 [complete]: ,175,0,25,8,25,12,0,2,7,50,8,50,5,0.987869,0.616563,859,0.625,0.71875,0,0,False,False,0,2,0,0,2
367c4d2ea7c2af3c6b4254c99ca529c8,pharaoh-dev-1.local,50100,combined-random,256x256x4,bulk,completed,lava-shield revision 1 seed 50100 [complete]: ,250,3,25,8,50,10,150,4,9,25,8,150,7,0.909174,0.534618,692,0.625,0.6875,27,21,True,False,0,2,0,0,2
544507b45d2532e364782da273fb5deb,pharaoh-dev-1.local,50101,combined-random,256x256x8,bulk,completed,lava-shield revision 1 seed 50101 [complete]: ,300,3,250,8,75,6,225,8,4,150,8,100,2,0.909734,0.529421,538,0.583333,0.6875,12,8,False,False,0,2,0,0,2
5fef1488a8d7f64983f8ebf8ab0725a1,pharaoh-dev-1.local,50102,combined-random,256x512x2,bulk,completed,lava-shield revision 1 seed 50102 [complete]: ,200,1,225,9,75,12,275,2,9,100,8,225,7,0.994419,0.640997,968,0.625,0.71875,9,5,False,False,0,2,0,0,2
544497f1a4381770a9b650e48de32f0c,pharaoh-dev-1.local,50103,combined-random,256x512x4,bulk,completed,lava-shield revision 1 seed 50103 [complete]: ,0,3,100,9,75,8,275,4,9,250,8,300,7,0.959683,0.588813,840,0.625,0.71875,27,22,True,False,0,2,0,0,2
3c6890a2664616ae6b9d2632c2e8226d,pharaoh-dev-1.local,50104,combined-random,256x512x8,bulk,completed,lava-shield revision 1 seed 50104 [complete]: ,0,1,100,9,50,8,0,8,3,0,8,50,1,0.857275,0.424367,877,0.375,0.5625,3,1,False,False,0,2,0,0,2
c49047d3d2533c6f61bb9247c79664a1,therig.local,50105,combined-random,512x256x2,bulk,completed,lava-shield revision 1 seed 50105 [complete]: ,200,2,25,8,50,10,125,2,4,225,9,125,6,0.998829,0.626452,938,0.625,0.71875,8,7,False,False,0,2,0,0,2
bd027a51ef54e6a0ffc2816e414a5d03,therig.local,50106,combined-random,512x256x4,bulk,completed,lava-shield revision 1 seed 50106 [complete]: ,275,3,300,8,50,10,125,4,9,150,9,275,5,0.971861,0.601167,863,0.625,0.71875,27,23,False,False,0,2,0,0,2
