Settings::load("preferences.txt") : error, can't open file.
generator,seed,off_ms,on_ms,records,status
hills,1,237.524,169.401,82,ok
hills,2,236.190,189.148,82,ok
hills,3,292.798,171.943,82,ok
rice-terraces,1,172.032,159.016,74,ok
rice-terraces,2,180.003,213.292,74,ok
rice-terraces,3,148.744,237.660,74,ok
locust,1,216.984,224.422,92,ok
locust,2,247.224,257.903,92,ok
locust,3,269.575,235.193,92,ok
plantations,1,499.565,703.064,96,ok
plantations,2,580.669,535.564,96,ok
plantations,3,551.724,663.066,96,ok
uniform,1,3.822,0.874,4,ok
uniform,2,2.659,0.931,4,ok
uniform,3,0.884,17.216,4,ok
# telemetry: 168 cases, 168 generated, 0 semantic failures, off 65695.181 ms, on 64910.672 ms
