generator,map_seed,roll_seed,ok,failure,quality_score,quality_fairness,starts,quality_by_start,map_fnv1a64_r0,generation_seconds
15,2001,546346630,1,,0.999034,0.999034,97:38;86:97;27:86;38:27,0.365;0.362;0.364;0.365,6407675144546386517,0.174164
15,2002,3034067026,1,,0.999772,0.999772,99:36;88:99;25:88;36:25,0.245;0.244;0.245;0.245,4786963649965994537,0.144406
59,2001,1188153717,1,,0.919316,0.919316,28:68;28:4;92:116;92:52,0.238;0.269;0.166;-0.043,12271638667697534022,0.565511
59,2002,23265159,1,,0.892544,0.892544,124:68;60:68;68:4;4:4,0.163;0.344;0.173;0.525,4044756340233780975,0.542977
60,2001,844529007,1,,0.937921,0.937921,113:116;43:71;97:62;40:24,-0.063;0.060;-0.177;-0.020,13602266474298100151,0.203785
60,2002,23265159,1,,0.958688,0.958688,51:46;6:104;77:114;126:27,-0.098;-0.022;-0.126;0.013,9487930559348568977,0.205909
