generator,map_seed,rotation,engine_seed,start,team,start_x,start_y,placement,won,result,alive,eliminated_tick,prestige,units,workers,explorers,warriors,buildings,sites,quality_fitness,quality_win_probability
59,2002,2,3,0,2,124,68,4,0,lost,0,23831,0,0,0,0,0,1,4,0.163112,0.215293
59,2002,2,3,1,3,60,68,2,0,lost,0,33305,0,24,22,0,2,0,0,0.343978,0.257976
59,2002,3,4,1,0,60,68,1,1,won,1,-1,0,73,46,3,24,17,2,0.343978,0.257976
59,2002,3,4,2,1,68,4,4,0,lost,0,17193,0,0,0,0,0,0,0,0.173223,0.217481
59,2002,3,4,3,2,4,4,2,0,lost,0,79688,0,11,9,1,1,0,1,0.525265,0.309251
59,2002,3,4,0,3,124,68,3,0,lost,0,34164,0,0,0,0,0,0,1,0.163112,0.215293
60,2001,0,1,0,0,113,116,1,1,won,1,-1,0,198,117,17,64,34,2,-0.062977,0.245897
60,2001,0,1,1,1,43,71,3,0,lost,0,33810,0,0,0,0,0,0,1,0.059808,0.278021
60,2001,0,1,2,2,97,62,4,0,lost,0,11595,0,0,0,0,0,0,1,-0.176526,0.219503
60,2001,0,1,3,3,40,24,2,0,lost,0,37493,0,0,0,0,0,0,0,-0.020455,0.256579
60,2001,1,2,3,0,40,24,4,0,lost,0,15291,0,0,0,0,0,0,0,-0.020455,0.256579
60,2001,1,2,0,1,113,116,1,1,won,1,-1,0,121,55,13,53,16,2,-0.062977,0.245897
60,2001,1,2,1,2,43,71,2,0,lost,0,24851,0,19,15,1,3,0,0,0.059808,0.278021
60,2001,1,2,2,3,97,62,3,0,lost,0,18782,0,0,0,0,0,0,0,-0.176526,0.219503
60,2001,2,3,2,0,97,62,1,1,won,1,-1,0,183,106,12,65,31,2,-0.176526,0.219503
60,2001,2,3,3,1,40,24,3,0,lost,0,35489,0,0,0,0,0,0,0,-0.020455,0.256579
60,2001,2,3,0,2,113,116,4,0,lost,0,33747,0,0,0,0,0,0,0,-0.062977,0.245897
60,2001,2,3,1,3,43,71,2,0,lost,0,60693,0,1,1,0,0,0,1,0.059808,0.278021
60,2001,3,4,1,0,43,71,2,0,lost,0,33567,0,8,6,0,2,0,0,0.059808,0.278021
60,2001,3,4,2,1,97,62,4,0,lost,0,28486,0,0,0,0,0,0,0,-0.176526,0.219503
60,2001,3,4,3,2,40,24,1,1,won,1,-1,0,180,105,15,60,31,2,-0.020455,0.256579
60,2001,3,4,0,3,113,116,3,0,lost,0,30637,0,1,1,0,0,0,0,-0.062977,0.245897
