Settings::load("preferences.txt") : error, can't open file.
generator,seed,off_ms,on_ms,records,status
savannah,1,550.453,584.033,244,ok
savannah,2,613.406,583.556,246,ok
savannah,3,640.458,588.466,244,ok
hills,1,213.130,264.574,82,ok
hills,2,282.935,301.997,82,ok
hills,3,261.020,263.573,82,ok
rice-terraces,1,148.689,324.125,74,ok
rice-terraces,2,190.967,261.539,74,ok
rice-terraces,3,173.221,180.180,74,ok
locust,1,431.808,430.385,92,ok
locust,2,355.277,299.869,92,ok
locust,3,266.240,327.722,92,ok
plantations,1,1008.670,737.332,96,ok
plantations,2,820.364,746.052,96,ok
plantations,3,620.145,591.790,96,ok
uniform,1,0.839,3.377,4,ok
uniform,2,0.893,0.898,4,ok
uniform,3,0.913,5.214,4,ok
# telemetry: 171 cases, 171 generated, 0 semantic failures, off 63929.093 ms, on 63670.581 ms
